"name","avg_medals","country"
"AFG",1,"Afghanistan"
"AHO",1,NA
"ALG",3,NA
"ANZ",15,NA
"ARG",15,"Argentina"
"ARM",4,"Armenia"
"AUS",40,"Australia"
"AUT",14,"Austria"
"AZE",8,"Azerbaijan"
"BAH",5,NA
"BAR",1,NA
"BDI",1,"Burundi"
"BEL",17,"Belgium"
"BER",1,NA
"BLR",12,"Belarus"
"BOH",4,NA
"BOT",1,NA
"BRA",25,"Brazil"
"BRN",2,"Brunei Darussalam"
"BUL",18,NA
"CAN",40,"Canada"
"CHI",5,NA
"CHN",66,"China"
"CIV",2,"Cote d'Ivoire"
"CMR",5,"Cameroon"
"COL",3,"Colombia"
"CRC",2,NA
"CRO",14,NA
"CUB",28,"Cuba"
"CYP",1,"Cyprus"
"CZE",14,"Czech Republic"
"DEN",21,NA
"DJI",1,"Djibouti"
"DOM",2,"Dominican Republic"
"ECU",1,"Ecuador"
"EGY",3,"Egypt"
"ERI",1,"Eritrea"
"ESP",26,"Spain"
"EST",4,"Estonia"
"ETH",5,"Ethiopia"
"EUN",279,NA
"FIJ",13,NA
"FIN",29,"Finland"
"FRA",51,"France"
"FRG",98,NA
"GAB",1,"Gabon"
"GBR",60,"United Kingdom"
"GDR",168,NA
"GEO",6,"Georgia"
"GER",84,NA
"GHA",6,"Ghana"
"GRE",13,NA
"GRN",1,NA
"GUA",1,NA
"GUY",1,"Guyana"
"HAI",3,NA
"HKG",2,"Hong Kong"
"HUN",43,"Hungary"
"INA",6,NA
"IND",11,"India"
"IOA",3,NA
"IRI",5,NA
"IRL",3,"Ireland"
"IRQ",1,"Iraq"
"ISL",5,"Iceland"
"ISR",2,"Israel"
"ISV",1,NA
"ITA",50,"Italy"
"JAM",11,"Jamaica"
"JOR",1,"Jordan"
"JPN",33,"Japan"
"KAZ",8,"Kazakhstan"
"KEN",9,"Kenya"
"KGZ",2,"Kyrgyzstan"
"KOR",29,NA
"KOS",1,NA
"KSA",3,NA
"KUW",1,NA
"LAT",4,NA
"LIB",2,NA
"LIE",3,"Liechtenstein"
"LTU",9,"Lithuania"
"LUX",2,"Luxembourg"
"MAR",3,"Morocco"
"MAS",4,NA
"MDA",2,"Republic of Moldova"
"MEX",6,"Mexico"
"MGL",3,NA
"MKD",1,"The former Yugoslav Republic of Macedonia"
"MNE",14,"Montenegro"
"MON",1,NA
"MOZ",1,"Mozambique"
"MRI",1,NA
"NAM",2,"Namibia"
"NED",33,NA
"NEP",1,NA
"NGR",11,NA
"NIG",1,NA
"NOR",31,"Norway"
"NZL",11,"New Zealand"
"PAK",14,"Pakistan"
"PAN",2,"Panama"
"PAR",17,NA
"PER",4,"Peru"
"PHI",2,NA
"POL",23,"Poland"
"POR",3,NA
"PRK",7,NA
"PUR",2,NA
"QAT",2,"Qatar"
"ROU",35,"Romania"
"RSA",8,NA
"RUS",84,"Russia"
"SCG",22,NA
"SEN",1,"Senegal"
"SGP",3,"Singapore"
"SLO",5,NA
"SRB",29,"Serbia"
"SRI",1,NA
"SUD",1,NA
"SUI",21,NA
"SUR",1,"Suriname"
"SVK",6,"Slovakia"
"SWE",47,"Sweden"
"SYR",1,"Syrian Arab Republic"
"TAN",2,NA
"TCH",29,NA
"TGA",1,NA
"THA",3,"Thailand"
"TJK",2,"Tajikistan"
"TOG",1,NA
"TPE",5,NA
"TTO",4,"Trinidad and Tobago"
"TUN",2,"Tunisia"
"TUR",6,"Turkey"
"UAE",1,NA
"UAR",2,NA
"UGA",2,"Uganda"
"UKR",20,"Ukraine"
"URS",251,NA
"URU",8,NA
"USA",162,"United States"
"UZB",5,"Uzbekistan"
"VEN",2,"Venezuela"
"VIE",2,NA
"WIF",5,NA
"YUG",28,NA
"ZAM",1,NA
"ZIM",8,NA
